Name,Description,Image,Processor Needed,Link to Wiki
Wood Fence,Keeps grass and animals contained!,Wood_Fence.png,Null,https://stardewvalleywiki.com/Wood_Fence
Stone Fence,Lasts longer than a wood fence.,Stone_Fence.png,Null,https://stardewvalleywiki.com/Stone_Fence
Iron Fence,Lasts longer than a stone fence.,Iron_Fence.png,Null,https://stardewvalleywiki.com/Iron_Fence
Hardwood Fence,The most durable type of fence.,Hardwood_Fence.png,Null,https://stardewvalleywiki.com/Hardwood_Fence
Grass Starter,Place this on your farm to start a new patch of grass.,Grass_Starter.png,Null,https://stardewvalleywiki.com/Grass_Starter
Gate,Allows you to pass through a fence.,Gate.png,Null,https://stardewvalleywiki.com/Gate
Chest,A place to store your items.,Chest.png,Null,https://stardewvalleywiki.com/Chest
Torch,Provides a modest amount of light.,Torch.png,Null,https://stardewvalleywiki.com/Torch
Scarecrow,"Prevents crows from attacking your crops. Has a limited radius (about 8 ""tiles"").",Scarecrow.png,Null,https://stardewvalleywiki.com/Scarecrow
Deluxe Scarecrow,"Prevents crows from attacking your crops. Has a large radius (about 16 ""tiles"").",Deluxe_Scarecrow.png,Null,https://stardewvalleywiki.com/Deluxe_Scarecrow
Bee House,Place outside and wait for delicious honey! (Except in Winter).,Bee_House.png,Null,https://stardewvalleywiki.com/Bee_House
Keg,Place a fruit or vegetable in here. Eventually it will turn into a beverage.,Keg.png,Null,https://stardewvalleywiki.com/Keg
Cask,Use in the cellar to age products like wine and cheese.,Cask.png,Null,https://stardewvalleywiki.com/Cask
Furnace,Turns ore and coal into metal bars.,Furnace.png,Null,https://stardewvalleywiki.com/Furnace
Garden Pot,"Grows crops from any season when indoors. Outdoors, it can only house seasonal crops.",Garden_Pot.png,Null,https://stardewvalleywiki.com/Garden_Pot
Wood Sign,Use an item on this to change what's displayed. The item won't be consumed.,Wood_Sign.png,Null,https://stardewvalleywiki.com/Wood_Sign
Cheese Press,Turns milk into cheese.,Cheese_Press.png,Null,https://stardewvalleywiki.com/Cheese_Press
Stone Sign,Use an item on this to change what's displayed. The item won't be consumed.,Stone_Sign.png,Null,https://stardewvalleywiki.com/Stone_Sign
Mayonnaise Machine,Turns eggs into mayonnaise.,Mayonnaise_Machine.png,Null,https://stardewvalleywiki.com/Mayonnaise_Machine
Seed Maker,Place crops inside to produce a varying amount of seeds. Doesn't work with fruit tree crops.,Seed_Maker.png,Null,https://stardewvalleywiki.com/Seed_Maker
Loom,Turns raw wool into fine cloth.,Loom.png,Null,https://stardewvalleywiki.com/Loom
Oil Maker,Makes gourmet truffle oil.,Oil_Maker.png,Null,https://stardewvalleywiki.com/Oil_Maker
Recycling Machine,Turns fishing trash into resources.,Recycling_Machine.png,Null,https://stardewvalleywiki.com/Recycling_Machine
Worm Bin,Produces bait on a regular basis. The worms are self-sufficient.,Worm_Bin.png,Null,https://stardewvalleywiki.com/Worm_Bin
Preserves Jar,Turns vegetables into pickles and fruit into jam.,Preserves_Jar.png,Null,https://stardewvalleywiki.com/Preserves_Jar
Charcoal Kiln,Turns 10 pieces of wood into one piece of coal.,Charcoal_Kiln.png,Null,https://stardewvalleywiki.com/Charcoal_Kiln
Tapper,"Place on a maple, oak, or pine tree and wait for the reservoir to fill with product!",Tapper.png,Null,https://stardewvalleywiki.com/Tapper
Lightning Rod,Collects energy from lightning storms and turns it into battery packs.,Lightning_Rod.png,Null,https://stardewvalleywiki.com/Lightning_Rod
Slime Incubator,Hatches slimes eggs into slimes. Allows you to raise slimes outdoors.,Slime_Incubator.png,Null,https://stardewvalleywiki.com/Slime_Incubator
Slime Egg-Press,Compresses 100 pieces of slime into a slime egg. It's a miracle of science!,Slime_Egg-Press.png,Null,https://stardewvalleywiki.com/Slime_Egg-Press
Crystalarium,Insert a gem of your choice and it will grow copies.,Crystalarium.png,Null,https://stardewvalleywiki.com/Crystalarium
Mini-Jukebox,Allows you to play your favorite tunes.,Mini-Jukebox.png,Null,https://stardewvalleywiki.com/Mini-Jukebox
Sprinkler,Waters the 4 adjacent tiles every morning.,Sprinkler.png,Null,https://stardewvalleywiki.com/Sprinkler
Quality Sprinkler,Waters the 8 adjacent tiles every morning.,Quality_Sprinkler.png,Null,https://stardewvalleywiki.com/Quality_Sprinkler
Iridium Sprinkler,Waters the 24 adjacent tiles every morning.,Iridium_Sprinkler.png,Null,https://stardewvalleywiki.com/Iridium_Sprinkler
Quality Fertilizer,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil.",Quality_Fertilizer.png,Null,https://stardewvalleywiki.com/Quality_Fertilizer
Basic Retaining Soil,This soil has a chance of staying watered overnight. Mix into tilled soil.,Basic_Retaining_Soil.png,Null,https://stardewvalleywiki.com/Basic_Retaining_Soil
Quality Retaining Soil,This soil has a good chance of staying watered overnight. Mix into tilled soil.,Quality_Retaining_Soil.png,Null,https://stardewvalleywiki.com/Quality_Retaining_Soil
Staircase,Use this to move down a level in the mines.,Staircase.png,Null,https://stardewvalleywiki.com/Staircase
Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,Speed-Gro.png,Null,https://stardewvalleywiki.com/Speed-Gro
Flute Block,Plays a flute sound when you walk past.,Flute_Block.png,Null,https://stardewvalleywiki.com/Flute_Block
Drum Block,Plays a drum sound when you walk past.,Drum_Block.png,Null,https://stardewvalleywiki.com/Drum_Block
Basic Fertilizer,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil.",Basic_Fertilizer.png,Null,https://stardewvalleywiki.com/Basic_Fertilizer
Tree Fertilizer,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees.",Tree_Fertilizer.png,Null,https://stardewvalleywiki.com/Tree_Fertilizer
Deluxe Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.,Deluxe_Speed-Gro.png,Null,https://stardewvalleywiki.com/Deluxe_Speed-Gro
Hyper Speed-Gro,Greatly stimulates leaf production. Guaranteed to increase growth rate by at least 33%. Mix into tilled soil.,Hyper_Speed-Gro.png,Null,https://stardewvalleywiki.com/Hyper_Speed-Gro
